Name,Slug,Collection ID,Item ID,Created On,Updated On,Published On,Type of Membership,Level of Membership,Community Logo,Digital Campaign Report (Operator Access Platinum Only),Digital Campaign Report URL (Operator Access Platinum Only)
Arcadia Senior Living Bowling Green,arcadia-senior-living-bowling-green,64107c2302e99de2b6724a6c,64107c2302e99d2016725baf,Thu Sep 29 2022 13:10:43 GMT+0000 (Coordinated Universal Time),Tue Feb 21 2023 17:17:40 GMT+0000 (Coordinated Universal Time),,Community Access,Gold,https://uploads-ssl.webflow.com/64107c2302e99d5fb5724a6b/64107c2302e99d882f7255dd_arcadia-bg_logo-340px.webp,,
Arrowhead Valley,arrowhead-valley,64107c2302e99de2b6724a6c,64107c2302e99d52c1725b40,Fri Nov 25 2022 18:08:08 GMT+0000 (Coordinated Universal Time),Fri Nov 25 2022 18:08:08 GMT+0000 (Coordinated Universal Time),Thu Jan 19 2023 19:16:46 GMT+0000 (Coordinated Universal Time),Community Access,Gold,https://uploads-ssl.webflow.com/64107c2302e99d5fb5724a6b/64107c2302e99d4a94725c0a_Coronado%20Villa.svg,,
Ashley Pointe,ashley-pointe,64107c2302e99de2b6724a6c,64107c2302e99d151b725ac0,Thu Oct 06 2022 18:45:05 GMT+0000 (Coordinated Universal Time),Thu Oct 06 2022 18:45:05 GMT+0000 (Coordinated Universal Time),Thu Jan 19 2023 19:16:46 GMT+0000 (Coordinated Universal Time),Community Access,Gold,https://uploads-ssl.webflow.com/64107c2302e99d5fb5724a6b/64107c2302e99d387372585d_ashley-pointe-logo.webp,,
Ashton Grove Senior Living,ashton-grove-senior-living,64107c2302e99de2b6724a6c,64107c2302e99d2c86725b37,Fri Nov 18 2022 03:07:15 GMT+0000 (Coordinated Universal Time),Fri Nov 18 2022 21:21:15 GMT+0000 (Coordinated Universal Time),Thu Jan 19 2023 19:16:46 GMT+0000 (Coordinated Universal Time),Community Access,Gold,https://uploads-ssl.webflow.com/64107c2302e99d5fb5724a6b/64107c2302e99d4d89725be8_logo--ashton-grove.svg,,
Aston Gardens At Sun City Center,aston-gardens-at-sun-city-center,64107c2302e99de2b6724a6c,64107c2302e99d8e3d725b2c,Fri Nov 18 2022 13:40:46 GMT+0000 (Coordinated Universal Time),Fri Nov 18 2022 13:40:46 GMT+0000 (Coordinated Universal Time),Thu Jan 19 2023 19:16:46 GMT+0000 (Coordinated Universal Time),Community Access,Gold,https://uploads-ssl.webflow.com/64107c2302e99d5fb5724a6b/64107c2302e99dbc2a725bec_Aston-Gardens-At-Sun-City-Center-logo.webp,,
Aston Gardens at the Courtyards,aston-gardens-at-the-courtyards,64107c2302e99de2b6724a6c,64107c2302e99d588d725b2d,Fri Nov 18 2022 13:52:35 GMT+0000 (Coordinated Universal Time),Fri Nov 18 2022 13:52:35 GMT+0000 (Coordinated Universal Time),Thu Jan 19 2023 19:16:46 GMT+0000 (Coordinated Universal Time),Community Access,Gold,https://uploads-ssl.webflow.com/64107c2302e99d5fb5724a6b/64107c2302e99ddcfe725be5_aston-gardens-courtyards-logo.webp,,
Atrium at Liberty Park,atrium-at-liberty-park,64107c2302e99de2b6724a6c,64107c2302e99dfe14725b27,Fri Nov 18 2022 01:52:27 GMT+0000 (Coordinated Universal Time),Fri Nov 18 2022 01:52:27 GMT+0000 (Coordinated Universal Time),Thu Jan 19 2023 19:16:46 GMT+0000 (Coordinated Universal Time),Community Access,Gold,https://uploads-ssl.webflow.com/64107c2302e99d5fb5724a6b/64107c2302e99d226b725be0_Atrium%20At%20Liberty%20Park.webp,,
Autumn Ridge Residences,autumn-ridge-residences,64107c2302e99de2b6724a6c,64107c2302e99db3f0725b24,Thu Nov 17 2022 16:40:16 GMT+0000 (Coordinated Universal Time),Thu Nov 17 2022 16:40:16 GMT+0000 (Coordinated Universal Time),Thu Jan 19 2023 19:16:46 GMT+0000 (Coordinated Universal Time),Community Access,Gold,https://uploads-ssl.webflow.com/64107c2302e99d5fb5724a6b/64107c2302e99d0859725be4_Autumn_Ridge_Logo-ppamybanle578mkrvldnsxezf78lqbih0wmch9v6kg.png,,
Autumn View Gardens Ellisville,autumn-view-gardens-ellisville,64107c2302e99de2b6724a6c,64107c2302e99d35b1725b05,Thu Oct 27 2022 14:16:21 GMT+0000 (Coordinated Universal Time),Thu Oct 27 2022 14:36:45 GMT+0000 (Coordinated Universal Time),Thu Jan 19 2023 19:16:46 GMT+0000 (Coordinated Universal Time),Community Access,Gold,https://uploads-ssl.webflow.com/64107c2302e99d5fb5724a6b/64107c2302e99d5644725bfb_Autumn-View-Gardens-Ellisville-logo.png,,
Barton House Memory Care Nashville ,barton-house-memory-care-nashville,64107c2302e99de2b6724a6c,64107c2302e99d1b087257b2,Thu Sep 15 2022 17:30:39 GMT+0000 (Coordinated Universal Time),Thu Sep 15 2022 17:30:39 GMT+0000 (Coordinated Universal Time),Thu Jan 19 2023 19:16:46 GMT+0000 (Coordinated Universal Time),Community Access,Gold,https://uploads-ssl.webflow.com/64107c2302e99d5fb5724a6b/64107c2302e99d2366725517_1525712351732%20(1).jpeg,,
Beach House at Wiregrass Ranch,beach-house-at-wiregrass-ranch,64107c2302e99de2b6724a6c,64107c2302e99d6478725b49,Fri Nov 25 2022 18:26:00 GMT+0000 (Coordinated Universal Time),Fri Nov 25 2022 18:26:00 GMT+0000 (Coordinated Universal Time),Thu Jan 19 2023 19:16:46 GMT+0000 (Coordinated Universal Time),Community Access,Gold,https://uploads-ssl.webflow.com/64107c2302e99d5fb5724a6b/64107c2302e99dc003725c10_Beach_House_Wiregrass_logo.jpg,,
Benton House of Blue Springs ,benton-house-of-blue-springs,64107c2302e99de2b6724a6c,64107c2302e99d81ef725708,Mon Aug 22 2022 15:36:38 GMT+0000 (Coordinated Universal Time),Tue Aug 23 2022 15:13:54 GMT+0000 (Coordinated Universal Time),Thu Jan 19 2023 19:16:46 GMT+0000 (Coordinated Universal Time),Community Access,Gold,https://uploads-ssl.webflow.com/61d2e3c9499f212051abd992/6304eeb02d7add401b08c3f2_Benton%20House.jpg,,
Benton House of Lenexa ,benton-house-of-lenexa,64107c2302e99de2b6724a6c,64107c2302e99d7b2572570b,Mon Aug 22 2022 15:37:15 GMT+0000 (Coordinated Universal Time),Tue Aug 23 2022 15:14:05 GMT+0000 (Coordinated Universal Time),Thu Jan 19 2023 19:16:46 GMT+0000 (Coordinated Universal Time),Community Access,Gold,https://uploads-ssl.webflow.com/61d2e3c9499f212051abd992/6304eeb02d7add401b08c3f2_Benton%20House.jpg,,
Benton House of Olathe ,benton-house-of-olathe,64107c2302e99de2b6724a6c,64107c2302e99d07e572570a,Mon Aug 22 2022 15:37:56 GMT+0000 (Coordinated Universal Time),Tue Aug 23 2022 15:14:12 GMT+0000 (Coordinated Universal Time),Thu Jan 19 2023 19:16:46 GMT+0000 (Coordinated Universal Time),Community Access,Gold,https://uploads-ssl.webflow.com/61d2e3c9499f212051abd992/6304eeb02d7add401b08c3f2_Benton%20House.jpg,,
Benton House of Raymore ,benton-house-of-raymore,64107c2302e99de2b6724a6c,64107c2302e99d5baf725b91,Mon Aug 22 2022 15:48:50 GMT+0000 (Coordinated Universal Time),Wed Feb 08 2023 16:41:41 GMT+0000 (Coordinated Universal Time),,Community Access,Gold,https://uploads-ssl.webflow.com/61d2e3c9499f212051abd992/6304eeb02d7add401b08c3f2_Benton%20House.jpg,,
